JOB_TITLE,JOB_CODE
"DEPARTMENT HEAD, SFUSD",996
DEPARTMENTAL PERSONNEL OFFICER,1270
DEPUTY CHIEF,400
DEPUTY CHIEF II,401
DEPUTY CHIEF III,402
"DEPUTY CHIEF OF DEPARTMENT, (FIRE DEPARTMENT)",150
"DEPUTY DIRECTOR FOR INVESTMENTS, RETIREMENT SYSTEM",1117
DEPUTY DIRECTOR I,951
"DEPUTY DIRECTOR I, MUNICIPAL TRANSPORTATION AGENCY",9183
DEPUTY DIRECTOR II,952
"DEPUTY DIRECTOR II, MUNICIPAL TRANSPORTATION AGENCY",9187
DEPUTY DIRECTOR III,953
DEPUTY DIRECTOR IV,954
DEPUTY DIRECTOR V,955
"DEPUTY DIRECTOR, RENT ARBITRATION BOARD",1107
"DEPUTY DIRECTOR, SFUSD",995
DEPUTY PROBATION OFFICER,8444
DEPUTY PROBATION OFFICER (SFERS),8530
DEPUTY SEALER OF WEIGHTS AND MEASURES,6222
DEPUTY SHERIFF,8304
DEPUTY SHERIFF (SFERS),8504
DEPUTY SHERIFF I,8302
DEVELOPMENT SERVICES MANAGER (OCII),O535
DEVELOPMENT SPECIALIST (OCII),O615
DIAGNOSTIC IMAGING ASSISTANT,2424
DIAGNOSTIC IMAGING TECHNOLOGIST I,2467
DIAGNOSTIC IMAGING TECHNOLOGIST II,2468
DIAGNOSTIC IMAGING TECHNOLOGIST III,2469
DIAGNOSTIC IMAGING TECHNOLOGIST IV,2470
DIETETIC TECHNICIAN,2622
DIETITIAN,2624
DIRECTOR,1115
"DIRECTOR OF ACTIVITIES, THERAPY AND VOLUNTEER SERVICES",2552
"DIRECTOR OF BUILDINGS AND GROUNDS, SFUSD",5107
"DIRECTOR OF BUSINESS & COMMUNITY DEVELOPMENT, SFUSD",9982
"DIRECTOR OF FACILITIES DESIGN & CONSTRUCTION, SFUSD",5121
"DIRECTOR OF FOOD SERVICES, SAN FRANCISCO UNIFIED SCHOOL DISTRICT",2638
DIRECTOR OF FORENSIC SERVICES,Q063
"DIRECTOR OF LEGISLATIVE AFFAIRS & GOVERNMENTAL RELATIONS, SFUSD",9983
"DIRECTOR OF PLANNING, MUNICIPAL RAILWAY",9189
DIRECTOR OF POLICE PSYCHOLOGY,Q090
DIRECTOR OF PUBLIC SAFETY,8287
"DIRECTOR, EMPLOYEE RELATIONS DIVISION",1283
"DIRECTOR, JUVENILE HALL",8344
"DIRECTOR, JUVENILE HALL (SFERS)",8580
"DIRECTOR, LOG CABIN RANCH",8330
"DIRECTOR, LOG CABIN RANCH (SFERS)",8576
"DIRECTOR, PARKING ENFORCEMENT",8220
"DIRECTOR, PROBATION SERVICES",8416
"DIRECTOR, PROBATION SERVICES (SFERS)",8584
"DIRECTOR, SFUSD",993
DISABILITY ACCESS COORDINATOR,6335
DISEASE CONTROL INVESTIGATOR,2806
DISTRICT ATTORNEY,8198
DISTRICT ATTORNEYS INVESTIGATIVE ASSISTANT,8132
DISTRICT ATTORNEYS INVESTIGATOR,8146
DISTRICT ATTORNEY'S INVESTIGATOR (SFERS),8550
"DIVISION DIRECTOR, ADULT PROBATION",8435
"DIVISION DIRECTOR, ADULT PROBATION (SFERS)",8588
DOCUMENT EXAMINER TECHNICIAN,8109
DRYER MIXER OPERATOR,7424
EDUCATION INTEGRATION SPECIALIST,2977
EDUCATIONAL CERTIFICATION SPECIALIST,C148
"EDUCATIONAL CREDENTIALS & RECRUITMENT SPECIALIST, SFUSD & SFCCD",1486
EDUCATIONAL POLICY ANALYST,1809
ELECTIONS CLERK,1403
ELECTIONS WORKER,1471
ELECTRIC MOTOR REPAIR SUPERVISOR I,7256
ELECTRIC MOTOR REPAIRER,7319
ELECTRICAL ENGINEERING ASSISTANT,5352
ELECTRICAL INSPECTOR,6248
ELECTRICAL LINE HELPER,7432
ELECTRICAL LINE WORKER,7338
ELECTRICAL TRANSIT EQUIPMENT SUPERVISOR,7214
ELECTRICAL TRANSIT MECHANIC SUPERVISOR I,7253
"ELECTRICAL TRANSIT MECHANIC, ASSISTANT SUPERVISOR",7380
ELECTRICAL TRANSIT SHOP SUPERVISOR I,7216
ELECTRICAL TRANSIT SYSTEM MECHANIC,7371
ELECTRICIAN,7345
ELECTRICIAN SUPERVISOR I,7238
ELECTRICIAN SUPERVISOR II,7276
ELECTROENCEPHALOGRAPH TECHNICIAN I,2436
"ELECTRONIC INSTRUMENTATION TECHNICIAN, WATER POLLUTION CONTROL",7336
ELECTRONIC MAINTENANCE TECHNICIAN,7318
ELECTRONIC MAINTENANCE TECHNICIAN ASSISTANT SUPERVISOR,7329
ELEVATOR AND CRANE TECHNICIAN,9354
ELIGIBILITY WORKER SUPERVISOR,2907
EMERGENCY MEDICAL SERVICES AGENCY SPECIALIST,2533
EMERGENCY MEDICAL SVCS CHIEF,H053
EMERGENCY PLANNING COORDINATOR,8247
EMERGENCY PREPAREDNESS DIRECTOR,8286
EMERGENCY SERVICES ASSISTANT,8600
EMERGENCY SERVICES COORDINATOR I,8601
EMERGENCY SERVICES COORDINATOR II,8602
EMERGENCY SERVICES COORDINATOR III,8603
EMERGENCY SERVICES COORDINATOR IV,8604
EMPLOYEE ASSISTANCE COUNSELOR,2594
"EMPLOYEE RELATIONS MANAGER, SFCCD",1284
EMPLOYEE RELATIONS REPRESENTATIVE,1280
EMPLOYMENT & TRAINING SPECIALIST III,9704
EMPLOYMENT & TRAINING SPECIALIST IV,9705
EMPLOYMENT & TRAINING SPECIALIST V,9706
EMPLOYMENT & TRAINING SPECIALIST VI,9708
EMPLOYMENT AND TRAINING SPECIALIST I,9702
EMS SECTION CHIEF,H043
EMT/PARAMEDIC,H008
EMT/PARAMEDIC/FIREFIGHTER,H003
ENGINEER,5241
"ENGINEER/ARCHITECT,PRINCIPAL""",5212
"ENGINEER/ARCHITECT/LANDSCAPE ARCHITECT,SENIOR""",5211
ENGINEERING ASSISTANT,5362
ENGINEERING ASSOCIATE I,5364
ENGINEERING ASSOCIATE II,5366
ENVIRONMENTAL ASSISTANT,5638
ENVIRONMENTAL HEALTH INSPECTOR,6120
ENVIRONMENTAL HEALTH TECHNICIAN I,6108
ENVIRONMENTAL HEALTH TECHNICIAN II,6110
ENVIRONMENTAL SERVICE WORKER,7501
ENVIRONMENTAL SPECIALIST,5640
EPIDEMIOLOGIST I,2802
EPIDEMIOLOGIST II,2803
EQUAL EMPLOYMENT OPPORTUNITY PROGRAMS SENIOR SPECIALIST,1231
EQUAL EMPLOYMENT OPPORTUNITY PROGRAMS SPECIALIST,1233
ESTATE INVESTIGATOR,4230
EVENTS AND FACILITIES SPECIALIST,4119
"EXECUTIVE ASSISTANT TO THE ADMINISTRATOR, S.F.G.H.",1161
EXECUTIVE ASSISTANT TO THE BOARD OF EDUCATION,1550
EXECUTIVE ASSISTANT TO THE CONTROLLER,1574
EXECUTIVE ASSISTANT TO THE DIRECTOR OF HEALTH,1163
"EXECUTIVE ASSISTANT TO THE EXECUTIVE DIRECTOR, RETIREMENT SYSTEM",1110
EXECUTIVE CONTRACT EMPLOYEE WITH FBP,9989
"EXECUTIVE DIRECTOR OF PARENT RELATIONS, SFUSD",9981
EXECUTIVE DIRECTOR OF SCHOOL SAFETY,8290
"EXECUTIVE DIRECTOR, CHILD DEVELOPMENT PROGRAM, SFUSD",9994
"EXECUTIVE DIRECTOR, SFUSD",994
"EXECUTIVE DIRECTOR, SOUTHEAST COMMUNITY FACILITY COMMISSION",1843
EXECUTIVE SECRETARY I,1450
EXECUTIVE SECRETARY II,1452
EXECUTIVE SECRETARY III,1454
FARE COLLECTIONS RECEIVER,9110
FARMER,3402
FARMERS MARKET MANAGER,3480
"FEASIBILITY ANALYST, PORT",9377
FIELD SERVICES ASSISTANT SUPERVISOR,3378
FINANCIAL AID SPECIALIST,1487
FINANCIAL SYSTEMS ACCOUNTANT (OCII),O670
FINANCIAL SYSTEMS SUPERVISOR,1670
FINGERPRINT TECHNICIAN I,8249
FINGERPRINT TECHNICIAN II,8250
FINGERPRINT TECHNICIAN III,8251
FIRE ALARM DISPATCHER,8234
FIRE PROTECTION ENGINEER,5215
FIRE RESCUE PARAMEDIC,H001
FIRE SAFETY INSPECTOR II,6281
FIREFIGHTER,H002
FOOD SERVICE MANAGER ADMINISTRATOR,2620
FOOD SERVICE SUPERVISOR,2618
FOOD SERVICE WORKER,2604
FORENSIC AUTOPSY TECHNICIAN,2523
FORENSIC DOCUMENT EXAMINER,8264
FORENSIC LABORATORY ANALYST,2403
FORENSIC LATENT EXAMINER I,8252
FORENSIC LATENT EXAMINER II,8253
FORENSIC LATENT EXAMINER SUPERVISOR,8254
FORENSIC TOXICOLOGIST,2456
FORENSIC TOXICOLOGIST SUPERVISOR,2457
FORESTER,3426
FUSION WELDER,9346
GARDENER,3417
GENERAL LABORER,7514
GENERAL LABORER SUPERVISOR I,7215
"GENERAL MANAGER, KALW, SFUSD",3533
"GENERAL MANAGER, PUBLIC TRANSPORTATION DEPT.",9186
GENERAL UTILITY MECHANIC,7325
GLAZIER,7326
GLAZIER SUPERVISOR I,7233
GOVERNMENT AND PUBLIC AFFAIRS MANAGER,9382
GRAPHIC ARTIST,5322
GRAPHICS SUPERVISOR,5330
HARBOR ATTENDANT (OCII),O840
HARBOR OFFICE ASSISTANT (OCII),O865
HARBOR SECURITY OFFICER (OCII),O890
HARBORMASTER (OCII),O740
HEAD AIRPORT ELECTRICIAN,9242
"HEAD ATTORNEY, CIVIL AND CRIMINAL",8182
HEAD PARK PATROL OFFICER,8210
HEAD PHOTOGRAPHER,1774
HEALTH CARE ANALYST,2119
HEALTH CARE BILLING CLERK I,1635
HEALTH CARE BILLING CLERK II,1636
HEALTH EDUCATOR,2822
HEALTH PROGRAM COORDINATOR I,2589
HEALTH PROGRAM COORDINATOR II,2591
HEALTH PROGRAM COORDINATOR III,2593
HEALTH PROGRAM PLANNER,2818
HEALTH WORKER I,2585
HEALTH WORKER II,2586
HEALTH WORKER III,2587
HEALTH WORKER IV,2588
HEATING AND VENTILATING INSPECTOR,6235
HEAVY EQUIPMENT OPERATIONS ASSISTANT SUPERVISOR,7108
HEAVY EQUIPMENT OPERATIONS SUPERVISOR,7208
HETCH HETCHY MECHANICAL SHOP SUPERVISOR,7232
HODCARRIER,7428
HOME HEALTH AIDE,2583
HOSPITAL ASSISTANT ADMINISTRATOR,2143
HOSPITAL ELIGIBILITY WORKER,2903
HOSPITAL ELIGIBILITY WORKER SUPERVISOR,2909
HOUSEKEEPER/FOOD SERVICE CLEANER,2706
HOUSING INSPECTOR,6270
HUMAN RESOURCES DIRECTOR,1293
HUMAN SERVICES AGENCY EMPLOYMENT & TRAINING SPECIALIST II,9703
HUMAN SERVICES AGENCY SENIOR ELIGIBILITY WORKER,2905
HUMAN SERVICES AGENCY SOCIAL WORKER,2918
HUMAN SERVICES SECTION MANAGER,2948
HUMAN SERVICES TECHNICIAN,2904
ILLUSTRATOR AND ART DESIGNER,5320
IMAGING SUPERVISOR,2496
INCIDENT SUPPORT SPECIALIST,H010
INDUSTRIAL ENGINEER,5209
INDUSTRIAL HYGIENIST,6138
INDUSTRIAL INJURY INVESTIGATOR,8139
INFORMATION SYSTEMS TRAINEE,1010
"INSP, FIRE DEPT",H004
INSPECTOR II,381
INSPECTOR III,382
INSPECTOR OF WEIGHTS AND MEASURES,6220
"INSPECTOR, (POLICE DEPARTMENT)",380
INSTITUTION UTILITY WORKER,7524
INSTITUTIONAL POLICE OFFICER,8204
INSTITUTIONAL POLICE SERGEANT,8205
INSTRUCTIONAL DESIGNER,1230
INTEGRATED PEST MANAGEMENT SPECIALIST,3424
INVENTORY CLERK,1920
