,JOB_TITLE,JOB_CODE,JOB_GROUP,SERVICE_GROUP
32,AIRPORT NOISE ABATEMENT SPECIALIST,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
32,AIRPORT NOISE ABATEMENT SPEC,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
33,AIRPORT OPERATIONS SUPERVISOR,9200,Airport Operation,TRANSPORTATION
35,AIRPORT POLICE SERVICES AIDE,9200,Airport Operation,TRANSPORTATION
34,AIRPORT PROPERTY SPECIALIST I,9200,Airport Operation,TRANSPORTATION
35,AIRPORT SAFETY OFFICER,9200,Airport Operation,TRANSPORTATION
36,AIRPORT SECURITY ID TECHNICIAN,9200,Airport Operation,TRANSPORTATION
37,ALTERNATE MEDIA SPECIALIST,1700,Office and Photographic Machine,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
38,ANALYST TRAINEE,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
39,ANESTHETIST,2300,Nursing,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
40,ANIMAL CARE ASSISTANT SUPERVISOR,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
40,ANIMAL CARE ASST SUPV,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
41,ANIMAL CARE ATTENDANT,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
42,ANIMAL CARE SUPERVISOR,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
43,ANIMAL CONTROL OFFICER,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
44,ANIMAL CONTROL SUPERVISOR,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
45,ANIMAL HEALTH TECHNICIAN,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
46,ANIMAL KEEPER,3300,Park 3500 Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
47,APPRENTICE ARBORIST TECHNICIAN II,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
48,APPRENTICE AUTOMOTIVE MACHINIST I,7300,Journeyman Trade,LABOR AND TRADES
49,APPRENTICE AUTOMOTIVE MACHINIST II,7300,Journeyman Trade,LABOR AND TRADES
50,APPRENTICE CEMENT MASON I,7300,Journeyman Trade,LABOR AND TRADES
51,APPRENTICE CEMENT MASON II,7300,Journeyman Trade,LABOR AND TRADES
52,APPRENTICE GARDENER,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
53,APPRENTICE MAINTENANCE MACHINIST I,7300,Journeyman Trade,LABOR AND TRADES
54,APPRENTICE MAINTENANCE MACHINIST II,7300,Journeyman Trade,LABOR AND TRADES
55,APPRENTICE PILE WORKER I,9300,Port Commission,TRANSPORTATION
56,APPRENTICE PILE WORKER II,9300,Port Commission,TRANSPORTATION
57,APPRENTICE POWER LINE WORKER I,7300,Journeyman Trade,LABOR AND TRADES
58,APPRENTICE POWER LINE WORKER II,7300,Journeyman Trade,LABOR AND TRADES
59,APPRENTICE STATIONARY ENGINEER I,7300,Journeyman Trade,LABOR AND TRADES
59,APPRENTICE STATIONARY ENGINEER,7300,Journeyman Trade,LABOR AND TRADES
60,APPRENTICE STATIONARY ENGINEER II,7300,Journeyman Trade,LABOR AND TRADES
61,"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT I",7300,Journeyman Trade,LABOR AND TRADES
61,"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT",7300,Journeyman Trade,LABOR AND TRADES
61,"APRNTC STATNRY ENG, SEW PLANT",7300,Journeyman Trade,LABOR AND TRADES
62,"APPRENTICE STATIONARY ENGINEER, SEWAGE PLANT II",7300,Journeyman Trade,LABOR AND TRADES
63,"APPRENTICE STATIONARY ENGINEER, WATER TREATMENT PLANT I",7300,Journeyman Trade,LABOR AND TRADES
63,"APPRENTICE STATIONARY ENGINEER,WATER TREATMENT PLN",7300,Journeyman Trade,LABOR AND TRADES
63,"APRNTCSTATNRY ENG,WTRTREATPLNT",7300,Journeyman Trade,LABOR AND TRADES
64,"APPRENTICE STATIONARY ENGINEER, WATER TREATMENT PLANT II",7300,Journeyman Trade,LABOR AND TRADES
65,AQUATICS FACILITY ASST SUPV,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
66,AQUATICS FACILITY SUPERVISOR,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
67,ARBORIST TECHNICIAN,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
68,ARBORIST TECHNICIAN I,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
69,ARBORIST TECHNICIAN SUPERVISOR I,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
69,ARBORIST TECHNICIAN SUPERVISOR,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
70,ARBORIST TECHNICIAN SUPERVISOR II,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
70,ARBORIST TECHNICIAN SUPV II,3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
71,ARCHITECT,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
72,ARCHITECTURAL ADMINISTRATOR,5100,Administrative,ENGINEERING AND PUBLIC WORKS 
73,ARCHITECTURAL ASSISTANT I,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
73,ARCHITECTURAL ASSISTANT  I,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
74,ARCHITECTURAL ASSISTANT II,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
75,ARCHITECTURAL ASSOCIATE I,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
75,ARCHITECTURAL ASSOCIATE  I,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
76,ARCHITECTURAL ASSOCIATE II,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
77,"AREA SUPERVISOR, PARKS, SQUARES AND FACILITIES",3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
77,"AREA SPRV PARKS, SQUARES & FAC",3400,Agriculture and Horticulture,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
78,ARTS PROGRAM ASSISTANT,3500,Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
79,ASBESTOS ABATEMENT WORKER II,7200,Supervisory,LABOR AND TRADES
80,ASPHALT FINISHER,7400,Skilled Labor,LABOR AND TRADES
81,ASPHALT FINISHER SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
82,ASPHALT PLANT SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
83,ASPHALT WORKER,7500,Semi-Skilled and General Labor,LABOR AND TRADES
84,ASSESSMENT CLERK,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
85,ASSESSOR,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
86,ASR-OFFICE ASSISTANT,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
87,ASR SENIOR OFFICE SPECIALIST,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
86,ASSESSOR-RECORDER OFFICE ASSISTANT,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
87,ASSESSOR-RECORDER OFFICE SPECIALIST,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
87,ASSESSOR-RECORDER OFFICE SPEC,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
88,ASSESSOR-RECORDER SENIOR OFFICE SPECIALIST,4200,Appraisal and Taxation,"PROPERTY APPRAISAL, TAXATION AND REVENUE"
89,ASSISTANT CHIEF ATTORNEY I,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
90,ASSISTANT CHIEF ATTORNEY II,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
90,ASSISTANT CHIEF ATTORNEY II,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
92,MANAGING ATTORNEY,8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
92,ASST CHF DIST ATTY'S INVSTGTOR,8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
92,ASSISTANT CHIEF DISTRICT ATTORNEY'S INVESTIGATOR,8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
92,"ASST CHF, BUR CLM INVEST&ADMIN",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
92,"ASST. CHIEF, BUREAU OF CLAIMS INVEST. & ADMIN",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
91,ASSISTANT CHIEF DISTRICT ATTORNEYS INVESTIGATOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
93,ASSISTANT CHIEF OF POLICE,300,Police Officer,"FIRE, POLICE"
93,COMMISSIONER,300,Police Officer,"FIRE, POLICE"
93,"COMMISSIONER 16.700C, NO PAY",300,Police Officer,"FIRE, POLICE"
93,COMMISSIONER NO BENEFITS,300,Police Officer,"FIRE, POLICE"
94,"ASSISTANT CHIEF PROBATION OFFICER, JUVENILE PROBATION (SFERS)",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
94,"ACPO,JUVP, JUV PROB (SFERS)",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
94,ASST. CHIEF PROBATION OFFICER-JUVENILE PROBATION,8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
94,"ASST CHF PROB OFC, JUV PROB",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
95,ASSISTANT CHIEF VICTIM/WITNESS INVESTIGATOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
95,ASST CHF VICTIM/WIT INVSTGTOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
96,"ASSISTANT CLERK, BOARD OF SUPERVISORS",1400,"Clerical, Typing and Stenographic","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
96,"ASST CLK, BOARD OF SUPERVISORS",1400,"Clerical, Typing and Stenographic","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
97,ASSISTANT CONSTRUCTION INSPECTOR,6300,Construction Inspection,INSPECTION
97,ASSISTANT CONST INSPECTOR,6300,Construction Inspection,INSPECTION
98,ASSISTANT COOK,2600,Dietary and Food 2900 Social Services,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
99,ASSISTANT COUNSELOR,8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
100,ASSISTANT COUNSELOR (SFERS),8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
101,ASSISTANT DEPUTY CHIEF II,0,Fire Fighter,"FIRE, POLICE"
102,"ASSISTANT DEPUTY DIRECTOR, PORT",9300,Port Commission,TRANSPORTATION
102,"ASST.DEP.DIR., PORT",9300,Port Commission,TRANSPORTATION
103,ASSISTANT DIRECTOR OF CLINICAL SERVICES I,2200,Medical and Dental,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
103,ASST DIR OF CLINICAL SVCS 1,2200,Medical and Dental,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
103,"ASSISTANT TO THE DIRECTOR, PUBLIC AFFAIRS       RS",2200,Medical and Dental,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
104,ASSISTANT DIRECTOR OF CLINICAL SERVICES II,2200,Medical and Dental,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
104,ASST DIR CLINICAL SVCS 2,2200,Medical and Dental,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
105,"ASSISTANT DIRECTOR, FOOD AND NUTRITION SERVICES, USD",2600,Dietary and Food 2900 Social Services,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
106,"ASSISTANT DIRECTOR, JUVENILE HALL",8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
106,"ASST DIRECTOR, JUVENILE HALL",8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
107,"ASSISTANT DIRECTOR, JUVENILE HALL (SFERS)",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
108,"ASSISTANT DIRECTOR, LOG CABIN RANCH",8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
108,"ASST DIR, LOG CABIN RNCH",8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
109,"ASSISTANT DIRECTOR, LOG CABIN RANCH (SFERS)",8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
110,ASSISTANT ELECTRONIC MAINTENANCE TECHNICIAN,7400,Skilled Labor,LABOR AND TRADES
110,ASST ELECTRONIC MAIN TECH,7400,Skilled Labor,LABOR AND TRADES
111,ASSISTANT ENGINEER,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
112,ASSISTANT FIRE MARSHAL,0,Fire Fighter,"FIRE, POLICE"
113,ASSISTANT FISCAL OFFICER BOARD OF EDUCATION,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
114,ASSISTANT GENERAL SERVICES MANAGER,2700,Housekeeping and Laundry,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
114,ASST GENERAL SERVICES MANAGER,2700,Housekeeping and Laundry,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
115,ASSISTANT HEALTH EDUCATOR,2800,Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
116,ASSISTANT INDUSTRIAL HYGIENIST,6100,Health and Sanitation Inspection,INSPECTION
117,ASSISTANT INSPECTOR,0,Police Officer,"FIRE, POLICE"
117,ASSISTANT INSPECTOR 2,0,Police Officer,"FIRE, POLICE"
117,ASSISTANT INSPECTOR 3,0,Police Officer,"FIRE, POLICE"
118,ASSISTANT LAW LIBRARIAN,100,OTHERS,OTHERS
119,ASSISTANT MATERIALS COORDINATOR,1900,Purchasing and Storekeeping,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
119,ASST MATERIALS COORDINATOR,1900,Purchasing and Storekeeping,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
120,ASSISTANT MEDICAL EXAMINER,2500,Therapy and Auxiliary 2800 Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
120,ASST MED EXAMINER,2500,Therapy and Auxiliary 2800 Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
121,ASSISTANT POWER HOUSE OPERATOR,7400,Skilled Labor,LABOR AND TRADES
122,ASSISTANT PROJECT MANAGER (OCII),900,OTHERS,OTHERS
123,ASSISTANT PURCHASER,1900,Purchasing and Storekeeping,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
124,ASSISTANT RECREATION DIRECTOR,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
125,ASSISTANT RECREATION SUPERVISOR,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
126,ASSISTANT RETIREMENT ANALYST,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
126,RETIREMENT ANALYST,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
127,ASSISTANT SHERIFF,8300,Correction and Detention,LEGAL PROTECTION AND DETENTION
128,ASSISTANT SHERIFF (SFERS),8500,Correction and Detention,LEGAL PROTECTION AND DETENTION
129,ASSISTANT STOREKEEPER,1900,Purchasing and Storekeeping,"ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
130,ASSISTANT SUPERINTENDENT RECREATION,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
130,ASST SUPERINTENDENT REC,3200,Recreation,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
131,ASSOC ENGINEER,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
131,ASSOCIATE ENGINEER,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
132,"ASSOCIATE MUSEUM CONSERVATOR, ASIAN ART MUSEUM",3500,Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
132,"ASSOC MUSM CNSRVT, AAM",3500,Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
133,ASSOCIATE MUSEUM REGISTRAR,3500,Cultural,"RECREATION, PARK, AGRICULTURAL AND CULTURAL"
134,"ASSOCIATE REGISTRAR, SAN FRANCISCO JUNIOR COLLEGE DISTRICT",1400,"Clerical, Typing and Stenographic","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
135,ASST CHF OF DEPT (FIRE DEPT),0,Fire Fighter,"FIRE, POLICE"
111,ASST ENGR,5200,Professional Engineering,ENGINEERING AND PUBLIC WORKS
136,"ASST. CHIEF PROBATION OFFICER, JUVENILE PROBATION",8400,Probation and Parole,LEGAL PROTECTION AND DETENTION
137,"ATHLETICS ACTIVITIES DIRECTOR COORDINATOR, SFUSD",9900,Federal Programs,TRANSPORTATION
138,ASSOCIATE AFFIRMATIVE ACTION COORDINATOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
138,TRIAL DELAY REDUCTION COORDINATOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
138,ATTORNEY (CIVIL/CRIMINAL),8100,Legal and Court,LEGAL PROTECTION AND DETENTION
138,AFFIRMATIVE ACTION SPECIALIST,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
138,CIVIL CASE SETTLMNT SPECIALIST,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
138,ATTORNEY FOR THE PUBLIC ADMINISTRATOR,8100,Legal and Court,LEGAL PROTECTION AND DETENTION
139,"ATTORNEY, TAX COLLECTOR",8100,Legal and Court,LEGAL PROTECTION AND DETENTION
142,AUDIO-VISUAL EQUIPMENT TECHNICIAN,7300,Journeyman Trade,LABOR AND TRADES
140,AUDIOLOGIST,2500,Therapy and Auxiliary 2800 Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
141,AUDIOMETRIST,2500,Therapy and Auxiliary 2800 Public Health,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
143,AUDITOR I,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
143,SUPERVISING AUDITOR,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
143,ASSOCIATE AUDITOR,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
143,ASSOCIATE PERFORMANCE AUDITOR,1800,"Budget, Administrative and Statistical Analysis","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
144,AUDITOR II,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
145,AUDITOR III,1600,"Payroll, Billing and Accounting","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
146,AUTOMOTIVE BODY AND FENDER WORKER,7300,Journeyman Trade,LABOR AND TRADES
146,AUTOMOTIVE BODY & FENDER WRK,7300,Journeyman Trade,LABOR AND TRADES
147,AUTOMOTIVE BODY AND FENDER WORKER ASSISTANT SUPERVISOR,7300,Journeyman Trade,LABOR AND TRADES
147,AUTO BODY&FENDER WRK ASST SPRV,7300,Journeyman Trade,LABOR AND TRADES
148,AUTOMOTIVE BODY AND FENDER WORKER SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
148,AUTO BODY & FENDER WRK SPRV 1,7200,Supervisory,LABOR AND TRADES
149,AUTOMOTIVE MACHINIST,7300,Journeyman Trade,LABOR AND TRADES
150,AUTOMOTIVE MACHINIST ASSISTANT SUPERVISOR,7300,Journeyman Trade,LABOR AND TRADES
150,AUTO MACHINIST ASST SPRV,7300,Journeyman Trade,LABOR AND TRADES
151,AUTOMOTIVE MACHINIST SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
151,AUTOMOTIVE MACHINIST SPRV 1,7200,Supervisory,LABOR AND TRADES
152,AUTOMOTIVE MECHANIC,7300,Journeyman Trade,LABOR AND TRADES
153,AUTOMOTIVE MECHANIC ASSISTANT SUPERVISOR,7300,Journeyman Trade,LABOR AND TRADES
153,AUTOMOTIVE MECHANIC ASST SPRV,7300,Journeyman Trade,LABOR AND TRADES
154,AUTOMOTIVE MECHANIC SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
154,AUTOMOTIVE MECHANIC SPRV 1,7200,Supervisory,LABOR AND TRADES
155,AUTOMOTIVE SERVICE WORKER,7400,Skilled Labor,LABOR AND TRADES
156,AUTOMOTIVE SERVICE WORKER ASSISTANT SUPERVISOR,7400,Skilled Labor,LABOR AND TRADES
156,AUTO SVC WRK ASST SPRV,7400,Skilled Labor,LABOR AND TRADES
157,AUTOMOTIVE TRANSIT EQUIPMENT SUPERVISOR,7200,Supervisory,LABOR AND TRADES
158,AUTOMOTIVE TRNST SHOP SPRV 1,7200,Supervisory,LABOR AND TRADES
158,AUTOMOTIVE TRANSIT SHOP SUPERVISOR I,7200,Supervisory,LABOR AND TRADES
159,AVID TUTOR,1400,"Clerical, Typing and Stenographic","ADMINISTRATIVE, PERSONNEL, FISCAL AND CLERICAL"
160,BAKER,2600,Dietary and Food 2900 Social Services,"HEALTH, WELFARE, DIETARY AND HOUSEKEEPING"
161,BARBER,7300,Journeyman Trade,LABOR AND TRADES
162,"BATTALION CHIEF, FIRE SUPPRESSION",0,Fire Fighter,"FIRE, POLICE"
162,"BATTALION CHIEF, FIRE SUPPRESS",0,Fire Fighter,"FIRE, POLICE"
162,"BATTLION CHIEF, FIRE SUPPRESSI",0,Fire Fighter,"FIRE, POLICE"
